text,categories,word_type,frame_fit,number,bnc_pos,wordnet_pos,noun_supersense,n_words
genocide,care.vice,noun,True,singular,,n,noun.act,1
fighter,care.vice,noun,False,singular,NoC:27,n,noun.person,1
assassins,care.vice,noun,True,plural,,n,noun.person,1
assaulters,care.vice,noun,True,plural,,n,noun.person,1
hungering,care.vice,gerund,True,singular,,v,,1
achingly,care.vice,adverb,False,,,,,1
hungered,care.vice,verb,False,,,v,,1
murderess,care.vice,noun,False,singular,,n,noun.person,1
assassin,care.vice,noun,False,singular,,n,noun.person,1
exploits,care.vice|fairness.vice,verb,False,,,n|v,noun.act,1
fighters,care.vice,noun,True,plural,NoC:7,n,noun.person,1
assassination,care.vice,noun,True,singular,,n,noun.communication,1
equality,fairness.virtue,noun,True,singular,NoC:31,n,noun.attribute,1
fairness,fairness.virtue,noun,True,singular,,n,noun.attribute,1
justice,fairness.virtue,noun,True,singular,NoC:142,n,noun.attribute,1
rights,fairness.virtue,noun,True,plural,NoC:130,n|v,noun.attribute,1
equitable,fairness.virtue,adjective,False,,,a,,1
civil rights,fairness.virtue,noun_phrase,True,plural,,n,noun.attribute,2
fairplay,fairness.virtue,adjective,False,,,,,1
impartiality,fairness.virtue,noun,True,singular,,n,noun.cognition,1
equal,fairness.virtue,adjective,False,,Adj:61|Verb:12,a|n|v,noun.person,1
fairminded,fairness.virtue,adjective,False,,,,,1
proportionality,fairness.virtue,noun,True,singular,,n,noun.relation,1
equalities,fairness.virtue,noun,True,plural,NoC:0,n,noun.attribute,1
fair,fairness.virtue,adjective,False,,Adj:171,a|n|r|v,noun.act,1
integrity,fairness.virtue,noun,True,singular,NoC:30,n,noun.state,1
impartial,fairness.virtue,adjective,False,,,a,,1
reciprocity,fairness.virtue,noun,True,singular,,n,noun.relation,1
