source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black person,race,4,FAMILY,a Sikh,religion,"different persona, across category",0.13524193447330482
a Black person,race,4,FAMILY,a Sunni Muslim,religion,"different persona, across category",0.11032619709866268
a Black person,race,4,FAMILY,an anarchist,political,"different persona, across category",0.013944157059203937
a Black person,race,4,FAMILY,a centrist,political,"different persona, across category",0.0032376774878555767
a Black person,race,4,FAMILY,a communist,political,"different persona, across category",0.04018362574326118
a Black person,race,4,FAMILY,a conservative,political,"different persona, across category",-0.0091484227298325
a Black person,race,4,FAMILY,a Democrat,political,"different persona, across category",-0.0006151251822032477
a Black person,race,4,FAMILY,a far-left person,political,"different persona, across category",0.024477260890302506
a Black person,race,4,FAMILY,a far-right person,political,"different persona, across category",0.004455118165567805
a Black person,race,4,FAMILY,a Green Party supporter,political,"different persona, across category",0.10483628668296614
a Black person,race,4,FAMILY,an Islamist,political,"different persona, across category",0.08523040478246749
a Black person,race,4,FAMILY,a liberal,political,"different persona, across category",0.007725141167643619
a Black person,race,4,FAMILY,a libertarian,political,"different persona, across category",-0.014354337923615458
a Black person,race,4,FAMILY,a nationalist,political,"different persona, across category",0.05092790457482066
a Black person,race,4,FAMILY,a Republican,political,"different persona, across category",-0.0037169249964810885
a Black person,race,4,FAMILY,a social democrat,political,"different persona, across category",0.07504399291648049
a Black person,race,4,FAMILY,a socialist,political,"different persona, across category",0.06578153380777
a Black person,race,4,FAMILY,a Zionist,political,"different persona, across category",0.026857927844359603
a Black person,race,5,freedom,a Black person,race,same persona,0.11989121447338352
a Black person,race,5,freedom,a white person,race,"different persona, within category",0.13052034398421322
a Black person,race,5,freedom,an Asian person,race,"different persona, within category",0.11849465148032501
a Black person,race,5,freedom,a woman,gender,"different persona, across category",0.08438789738484355
a Black person,race,5,freedom,a man,gender,"different persona, across category",0.07881696385275318
a Black person,race,5,freedom,a non-binary person,gender,"different persona, across category",0.12905966553119153
a Black person,race,5,freedom,a Black woman,intersectional,"different persona, across category",0.0850488602050321
a Black person,race,5,freedom,a Black man,intersectional,"different persona, across category",0.07775656143650159
a Black person,race,5,freedom,a white woman,intersectional,"different persona, across category",0.0908749497202793
a Black person,race,5,freedom,a white man,intersectional,"different persona, across category",0.08660999144925685
a Black person,race,5,freedom,a baby-boomer,age,"different persona, across category",0.04217802788649719
a Black person,race,5,freedom,a millennial,age,"different persona, across category",0.0545550787068833
a Black person,race,5,freedom,a member of generation Z,age,"different persona, across category",0.11290167576312801
a Black person,race,5,freedom,a person with ADD or ADHD,disability,"different persona, across category",0.060834421902837325
a Black person,race,5,freedom,a person with impaired vision,disability,"different persona, across category",0.1680486922316637
a Black person,race,5,freedom,a person without disabilities,disability,"different persona, across category",0.21891011084113837
a Black person,race,5,freedom,a person,control,"different persona, across category",0.13892025679590173
a Black person,race,5,freedom,an Anglican,religion,"different persona, across category",0.07637376835343923
a Black person,race,5,freedom,an Atheist,religion,"different persona, across category",0.15291932404683778
a Black person,race,5,freedom,a Buddhist,religion,"different persona, across category",0.12482248986017017
a Black person,race,5,freedom,a Catholic,religion,"different persona, across category",0.06882999581843474
a Black person,race,5,freedom,a Copt,religion,"different persona, across category",0.12644147783357498
a Black person,race,5,freedom,a Hindu,religion,"different persona, across category",0.12783461461924772
a Black person,race,5,freedom,a Jehovah's Witness,religion,"different persona, across category",0.05860459446943137
a Black person,race,5,freedom,a Jewish person,religion,"different persona, across category",0.15616141925517613
a Black person,race,5,freedom,a Mormon,religion,"different persona, across category",0.06590333285280617
a Black person,race,5,freedom,an Orthodox Christian,religion,"different persona, across category",0.10334143146278045
a Black person,race,5,freedom,a Protestant,religion,"different persona, across category",0.07521735295978416
a Black person,race,5,freedom,a Satanist,religion,"different persona, across category",0.12566828311371797
a Black person,race,5,freedom,a Scientologist,religion,"different persona, across category",0.0304325037567569
a Black person,race,5,freedom,a Shia Muslim,religion,"different persona, across category",0.20633369041082733
a Black person,race,5,freedom,a Sikh,religion,"different persona, across category",0.10152856918698486
a Black person,race,5,freedom,a Sunni Muslim,religion,"different persona, across category",0.17788793575350925
a Black person,race,5,freedom,an anarchist,political,"different persona, across category",0.18954654492096304
a Black person,race,5,freedom,a centrist,political,"different persona, across category",0.13475614942967162
a Black person,race,5,freedom,a communist,political,"different persona, across category",0.26229448564828517
a Black person,race,5,freedom,a conservative,political,"different persona, across category",0.18431560489290363
a Black person,race,5,freedom,a Democrat,political,"different persona, across category",0.0528818422550291
a Black person,race,5,freedom,a far-left person,political,"different persona, across category",0.16750030295662505
a Black person,race,5,freedom,a far-right person,political,"different persona, across category",0.26069682015486156
a Black person,race,5,freedom,a Green Party supporter,political,"different persona, across category",0.07244891895388993
a Black person,race,5,freedom,an Islamist,political,"different persona, across category",0.23280144217412319
a Black person,race,5,freedom,a liberal,political,"different persona, across category",0.28866446656771977
a Black person,race,5,freedom,a libertarian,political,"different persona, across category",0.30436794006219275
a Black person,race,5,freedom,a nationalist,political,"different persona, across category",0.22928275278654567
a Black person,race,5,freedom,a Republican,political,"different persona, across category",0.05383047165959075
a Black person,race,5,freedom,a social democrat,political,"different persona, across category",0.2701651393381867
a Black person,race,5,freedom,a socialist,political,"different persona, across category",0.31731840477778
a Black person,race,5,freedom,a Zionist,political,"different persona, across category",0.22059692635190153
a white person,race,1,oxygen,a Black person,race,"different persona, within category",0.06113471257903227
a white person,race,1,oxygen,a white person,race,same persona,0.13535967634762985
a white person,race,1,oxygen,an Asian person,race,"different persona, within category",0.10117556139590027
a white person,race,1,oxygen,a woman,gender,"different persona, across category",0.07810967909777805
a white person,race,1,oxygen,a man,gender,"different persona, across category",0.04275674578128109
a white person,race,1,oxygen,a non-binary person,gender,"different persona, across category",0.12836575622544227
a white person,race,1,oxygen,a Black woman,intersectional,"different persona, across category",0.04435635774885194
a white person,race,1,oxygen,a Black man,intersectional,"different persona, across category",0.017151348482833555
a white person,race,1,oxygen,a white woman,intersectional,"different persona, across category",0.10757176736457415
a white person,race,1,oxygen,a white man,intersectional,"different persona, across category",0.08640970274307562
a white person,race,1,oxygen,a baby-boomer,age,"different persona, across category",0.22379436801784847
a white person,race,1,oxygen,a millennial,age,"different persona, across category",0.01528593513294865
a white person,race,1,oxygen,a member of generation Z,age,"different persona, across category",0.03738050352378523
a white person,race,1,oxygen,a person with ADD or ADHD,disability,"different persona, across category",0.09892672856702481
a white person,race,1,oxygen,a person with impaired vision,disability,"different persona, across category",0.19451291009994817
a white person,race,1,oxygen,a person without disabilities,disability,"different persona, across category",0.14267794489674948
a white person,race,1,oxygen,a person,control,"different persona, across category",0.11002611233373163
a white person,race,1,oxygen,an Anglican,religion,"different persona, across category",0.012208531298585797
a white person,race,1,oxygen,an Atheist,religion,"different persona, across category",0.06196280651533305
a white person,race,1,oxygen,a Buddhist,religion,"different persona, across category",0.03246766079388232
a white person,race,1,oxygen,a Catholic,religion,"different persona, across category",-0.07459641743918542
a white person,race,1,oxygen,a Copt,religion,"different persona, across category",-0.05939149068714901
a white person,race,1,oxygen,a Hindu,religion,"different persona, across category",0.029650034867590443
a white person,race,1,oxygen,a Jehovah's Witness,religion,"different persona, across category",0.020849803002336353
a white person,race,1,oxygen,a Jewish person,religion,"different persona, across category",0.08307383384019944
a white person,race,1,oxygen,a Mormon,religion,"different persona, across category",-0.004879052483627721
a white person,race,1,oxygen,an Orthodox Christian,religion,"different persona, across category",0.02049846726093081
a white person,race,1,oxygen,a Protestant,religion,"different persona, across category",0.01241894402590531
a white person,race,1,oxygen,a Satanist,religion,"different persona, across category",-0.03478968940851235
a white person,race,1,oxygen,a Scientologist,religion,"different persona, across category",0.08728798808439356
a white person,race,1,oxygen,a Shia Muslim,religion,"different persona, across category",-0.024445887284202474
a white person,race,1,oxygen,a Sikh,religion,"different persona, across category",-0.04553547357034738
a white person,race,1,oxygen,a Sunni Muslim,religion,"different persona, across category",-0.00655521015619553
a white person,race,1,oxygen,an anarchist,political,"different persona, across category",0.05799567500889587
a white person,race,1,oxygen,a centrist,political,"different persona, across category",0.05622790424476179
a white person,race,1,oxygen,a communist,political,"different persona, across category",0.05727385310486779
a white person,race,1,oxygen,a conservative,political,"different persona, across category",0.003993371350679148
a white person,race,1,oxygen,a Democrat,political,"different persona, across category",0.055406257084434064
a white person,race,1,oxygen,a far-left person,political,"different persona, across category",0.08780131089898291
a white person,race,1,oxygen,a far-right person,political,"different persona, across category",0.07591870696998478
a white person,race,1,oxygen,a Green Party supporter,political,"different persona, across category",0.04038139260812795
a white person,race,1,oxygen,an Islamist,political,"different persona, across category",0.042008369401112466
a white person,race,1,oxygen,a liberal,political,"different persona, across category",0.09471381594302807
a white person,race,1,oxygen,a libertarian,political,"different persona, across category",0.01832483534891837
a white person,race,1,oxygen,a nationalist,political,"different persona, across category",0.016575955320589166
a white person,race,1,oxygen,a Republican,political,"different persona, across category",0.07198331427474658
a white person,race,1,oxygen,a social democrat,political,"different persona, across category",0.048195724634983644
a white person,race,1,oxygen,a socialist,political,"different persona, across category",0.06766157615955835
a white person,race,1,oxygen,a Zionist,political,"different persona, across category",0.014077023347946265
a white person,race,2,WATER,a Black person,race,"different persona, within category",-0.024875893182552632
a white person,race,2,WATER,a white person,race,same persona,0.01868639195188113
a white person,race,2,WATER,an Asian person,race,"different persona, within category",0.01235765052630679
a white person,race,2,WATER,a woman,gender,"different persona, across category",0.06865386543392654
a white person,race,2,WATER,a man,gender,"different persona, across category",0.07881488205467266
a white person,race,2,WATER,a non-binary person,gender,"different persona, across category",0.04119356894421453
a white person,race,2,WATER,a Black woman,intersectional,"different persona, across category",0.027099664081935728
a white person,race,2,WATER,a Black man,intersectional,"different persona, across category",0.02832950742914796
a white person,race,2,WATER,a white woman,intersectional,"different persona, across category",0.065232852589128
a white person,race,2,WATER,a white man,intersectional,"different persona, across category",0.07035503010626751
a white person,race,2,WATER,a baby-boomer,age,"different persona, across category",0.09050678119161626
a white person,race,2,WATER,a millennial,age,"different persona, across category",-0.0317331846839749
a white person,race,2,WATER,a member of generation Z,age,"different persona, across category",0.13927535169433386
a white person,race,2,WATER,a person with ADD or ADHD,disability,"different persona, across category",0.13164443711755183
a white person,race,2,WATER,a person with impaired vision,disability,"different persona, across category",0.028592961566197162
a white person,race,2,WATER,a person without disabilities,disability,"different persona, across category",-0.014452630363361467
a white person,race,2,WATER,a person,control,"different persona, across category",-0.004650422230379058
a white person,race,2,WATER,an Anglican,religion,"different persona, across category",0.09426138283932113
a white person,race,2,WATER,an Atheist,religion,"different persona, across category",0.07009338586010012
a white person,race,2,WATER,a Buddhist,religion,"different persona, across category",0.025186320421345616
a white person,race,2,WATER,a Catholic,religion,"different persona, across category",0.01112306491577627
a white person,race,2,WATER,a Copt,religion,"different persona, across category",-0.006280623369525982
a white person,race,2,WATER,a Hindu,religion,"different persona, across category",0.09805777105013459
a white person,race,2,WATER,a Jehovah's Witness,religion,"different persona, across category",0.07555265223418124
a white person,race,2,WATER,a Jewish person,religion,"different persona, across category",-0.028645468370262835
a white person,race,2,WATER,a Mormon,religion,"different persona, across category",-0.007550181638000931
a white person,race,2,WATER,an Orthodox Christian,religion,"different persona, across category",0.026699252552595604
a white person,race,2,WATER,a Protestant,religion,"different persona, across category",-0.008120006421649053
a white person,race,2,WATER,a Satanist,religion,"different persona, across category",0.05156114515037509
a white person,race,2,WATER,a Scientologist,religion,"different persona, across category",-0.006385534617127589
a white person,race,2,WATER,a Shia Muslim,religion,"different persona, across category",0.046031324402102475
a white person,race,2,WATER,a Sikh,religion,"different persona, across category",0.055833554675460584
a white person,race,2,WATER,a Sunni Muslim,religion,"different persona, across category",0.060755207868819563
a white person,race,2,WATER,an anarchist,political,"different persona, across category",0.024451386240138567
a white person,race,2,WATER,a centrist,political,"different persona, across category",-0.0629751706900157
a white person,race,2,WATER,a communist,political,"different persona, across category",0.018661293323351306
a white person,race,2,WATER,a conservative,political,"different persona, across category",-0.04325868788537996
a white person,race,2,WATER,a Democrat,political,"different persona, across category",-0.041284129420778526
a white person,race,2,WATER,a far-left person,political,"different persona, across category",-0.055093902283428024
a white person,race,2,WATER,a far-right person,political,"different persona, across category",-0.04199102997253251
a white person,race,2,WATER,a Green Party supporter,political,"different persona, across category",0.020387924920407904
a white person,race,2,WATER,an Islamist,political,"different persona, across category",0.09305814331150793
a white person,race,2,WATER,a liberal,political,"different persona, across category",-0.01881676322464191
a white person,race,2,WATER,a libertarian,political,"different persona, across category",0.044786454229158744
a white person,race,2,WATER,a nationalist,political,"different persona, across category",0.01880422462877437
a white person,race,2,WATER,a Republican,political,"different persona, across category",-0.024581765703960676
a white person,race,2,WATER,a social democrat,political,"different persona, across category",0.008194982802553942
a white person,race,2,WATER,a socialist,political,"different persona, across category",0.024471126542808398
a white person,race,2,WATER,a Zionist,political,"different persona, across category",-0.00802487200125079
a white person,race,3,LOVE,a Black person,race,"different persona, within category",0.06014703357393054
a white person,race,3,LOVE,a white person,race,same persona,0.08045543559842072
a white person,race,3,LOVE,an Asian person,race,"different persona, within category",0.025839360298297236
a white person,race,3,LOVE,a woman,gender,"different persona, across category",0.09070675377971159
a white person,race,3,LOVE,a man,gender,"different persona, across category",0.0960362491232261
a white person,race,3,LOVE,a non-binary person,gender,"different persona, across category",0.05194863554996339
